ID,EYECLR,HCOLOR,SKINCLR,SEX
1,Brown,Brownh,Intskin,F
2,Blue,Brownh,Pale,F
6,Brown,Brownh,Intskin,F
8,Blue,Black,Intskin,M
11,Brown,Black,Intskin,F
12,Int,Black,Darkskin,M
13,Blue,Blonde,Intskin,M
17,Int,Black,Intskin,F
18,Blue,Blonde,Pale,F
19,Int,Blonde,Pale,F
20,Brown,Black,Intskin,M
22,Brown,Blonde,Intskin,F
23,Blue,Brownh,Intskin,M
24,Int,Blonde,Pale,F
27,Brown,Black,Pale,F
28,Int,Brownh,Intskin,F
29,Brown,Blonde,Intskin,F
33,Int,Black,Intskin,M
34,Brown,Brownh,Intskin,F
36,Brown,Black,Intskin,M
39,Brown,Brownh,Intskin,F
40,Brown,Black,Pale,F
41,Blue,Black,Intskin,M
42,Int,Brownh,Pale,F
43,Brown,Brownh,Pale,F
44,Brown,Black,Darkskin,F
45,Blue,Brownh,Intskin,F
46,Int,Black,Pale,F
47,Blue,Black,Intskin,F
49,Brown,Black,Pale,M
50,Brown,Black,Pale,M
54,Brown,Blonde,Pale,F
55,Blue,Black,Intskin,M
56,Int,Black,Pale,M
57,Blue,Black,Pale,F
59,Brown,Black,Darkskin,F
64,Brown,Brownh,Pale,M
67,Brown,Brownh,Intskin,M
70,Blue,Black,Intskin,M
71,Brown,Blonde,Pale,F
72,Int,Black,Intskin,M
73,Int,Black,Pale,F
75,Brown,Brownh,Intskin,F
76,Brown,Black,Intskin,M
78,Brown,Black,Intskin,F
80,Int,Black,Intskin,M
83,Blue,Brownh,Pale,F
85,Brown,Brownh,Pale,F
88,Int,Brownh,Pale,F
91,Brown,Black,Pale,M
92,Int,Blonde,Intskin,F
94,Blue,Blonde,Pale,F
98,Int,Black,Intskin,F
99,Blue,Brownh,Intskin,F
100,Blue,Blonde,Pale,F
101,Blue,Black,Intskin,F
102,Brown,Black,Pale,M
103,Int,Brownh,Intskin,F
107,Int,Brownh,Intskin,F
110,Int,Brownh,Pale,F
111,Brown,Blonde,Darkskin,F
112,Int,Blonde,Intskin,F
114,Brown,Black,Pale,M
116,Blue,Brownh,Pale,M
118,Brown,Black,Intskin,F
122,Blue,Blonde,Pale,F
123,Blue,Black,Intskin,M
124,Brown,Black,Intskin,F
126,Int,Blonde,Intskin,F
129,Brown,Black,Intskin,M
131,Brown,Black,Darkskin,F
132,Brown,Black,Darkskin,F
133,Int,Blonde,Pale,F
140,Blue,Blonde,Intskin,F
144,Blue,Black,Pale,M
147,Blue,Blonde,Intskin,F
148,Brown,Black,Pale,F
152,Int,Blonde,Intskin,M
157,Brown,Blonde,Intskin,F
158,Blue,Black,Darkskin,M
160,Brown,Black,Pale,M
161,Brown,Black,Pale,F
162,Blue,Black,Darkskin,F
165,Brown,Brownh,Pale,F
167,Brown,Blonde,Pale,F
168,Brown,Black,Darkskin,F
170,Brown,Brownh,Intskin,F
171,Int,Brownh,Pale,M
172,Int,Brownh,Pale,F
173,Int,Black,Darkskin,F
175,Int,Brownh,Pale,F
177,Int,Black,Pale,F
178,Brown,Brownh,Pale,F
179,Brown,Black,Pale,F
180,Brown,Brownh,Intskin,F
187,Brown,Black,Intskin,M
188,Blue,Brownh,Intskin,M
189,Int,Brownh,Darkskin,F
191,Int,Blonde,Intskin,F
193,Brown,Black,Intskin,M
198,Int,Brownh,Intskin,F
200,Blue,Brownh,Intskin,M
201,Brown,Blonde,Pale,F
