ID,EYECLR,HCOLOR,SKINCLR,SEX
1,Brown,Brownh,Pale,F
2,Brown,Brownh,Pale,F
6,Brown,Brownh,Intskin,F
8,Int,Black,Intskin,M
11,Brown,Black,Intskin,F
12,Brown,Black,Intskin,M
13,Int,Blonde,Pale,M
17,Int,Black,Intskin,F
18,Int,Blonde,Pale,F
19,Int,Blonde,Intskin,F
20,Brown,Brownh,Pale,M
22,Int,Blonde,Intskin,F
23,Brown,Black,Pale,M
24,Blue,Blonde,Pale,F
27,Brown,Black,Intskin,F
28,Blue,Brownh,Intskin,F
29,Int,Blonde,Intskin,F
33,Int,Black,Intskin,M
34,Brown,Brownh,Pale,F
36,Brown,Black,Intskin,M
39,Brown,Brownh,Pale,F
40,Brown,Black,Pale,F
41,Brown,Black,Intskin,M
42,Brown,Brownh,Pale,F
43,Brown,Black,Intskin,F
44,Brown,Black,Intskin,F
45,Int,Brownh,Intskin,F
46,Brown,Black,Pale,F
47,Brown,Black,Intskin,F
49,Brown,Black,Intskin,M
50,Brown,Black,Intskin,M
54,Int,Blonde,Intskin,F
55,Brown,Black,Intskin,M
56,Int,Brownh,Pale,F
57,Brown,Black,Intskin,F
59,Brown,Black,Intskin,F
64,Brown,Brownh,Pale,M
67,Brown,Black,Intskin,M
70,Brown,Black,Intskin,M
71,Int,Blonde,Pale,F
72,Brown,Black,Intskin,M
73,Brown,Brownh,Pale,F
75,Brown,Brownh,Pale,F
76,Brown,Black,Intskin,M
78,Brown,Brownh,Intskin,F
80,Brown,Black,Intskin,M
83,Brown,Brownh,Pale,F
85,Brown,Brownh,Pale,F
88,Brown,Brownh,Pale,F
91,Brown,Black,Intskin,M
92,Int,Blonde,Pale,F
94,Int,Blonde,Pale,F
98,Brown,Black,Intskin,F
99,Brown,Brownh,Pale,F
100,Blue,Brownh,Pale,F
101,Brown,Black,Intskin,F
102,Brown,Brownh,Pale,M
103,Int,Brownh,Intskin,F
107,Brown,Brownh,Intskin,F
110,Int,Brownh,Pale,F
111,Brown,Blonde,Darkskin,F
112,Int,Blonde,Intskin,F
114,Brown,Black,Intskin,M
116,Brown,Brownh,Pale,M
118,Brown,Black,Intskin,F
122,Brown,Blonde,Pale,F
123,Brown,Black,Intskin,M
124,Brown,Black,Intskin,F
126,Int,Blonde,Intskin,F
129,Brown,Black,Intskin,M
131,Brown,Brownh,Intskin,F
132,Brown,Black,Intskin,F
133,Blue,Blonde,Intskin,F
140,Int,Blonde,Intskin,F
144,Int,Brownh,Pale,M
147,Blue,Blonde,Pale,F
148,Brown,Black,Intskin,F
152,Brown,Brownh,Pale,M
157,Int,Blonde,Intskin,F
158,Brown,Black,Darkskin,M
160,Brown,Black,Intskin,M
161,Int,Black,Pale,F
162,Brown,Black,Darkskin,F
165,Int,Brownh,Intskin,F
167,Blue,Blonde,Intskin,F
168,Brown,Black,Darkskin,F
170,Brown,Brownh,Pale,F
171,Brown,Black,Intskin,M
172,Brown,Brownh,Pale,F
173,Brown,Black,Intskin,F
175,Int,Brownh,Pale,F
177,Brown,Black,Intskin,F
178,Int,Blonde,Pale,F
179,Int,Black,Intskin,F
180,Brown,Black,Pale,F
187,Brown,Black,Intskin,M
188,Brown,Black,Darkskin,M
189,Brown,Brownh,Intskin,F
191,Int,Blonde,Pale,F
193,Int,Black,Intskin,M
198,Brown,Brownh,Pale,F
200,Brown,Brownh,Intskin,M
201,Int,Blonde,Pale,F
204,Brown,Black,Intskin,F
205,Brown,Black,Intskin,M
206,Brown,Black,Intskin,M
208,Brown,Black,Intskin,F
212,Brown,Black,Intskin,M
214,Brown,Black,Intskin,M
216,Brown,Black,Intskin,F
218,Brown,Blonde,Pale,F
219,Int,Brownh,Pale,F
222,Blue,Brownh,Intskin,F
223,Brown,Brownh,Intskin,M
225,Int,Black,Pale,F
228,Brown,Blonde,Intskin,F
233,Brown,Black,Intskin,F
239,Brown,Blonde,Pale,F
241,Brown,Brownh,Intskin,F
243,Brown,Blonde,Darkskin,F
245,Brown,Black,Intskin,M
246,Brown,Black,Intskin,F
247,Int,Blonde,Pale,F
250,Brown,Black,Darkskin,M
259,Brown,Brownh,Pale,F
260,Brown,Black,Intskin,F
