ID,Pale,Intskin,Darkskin,Blonde,Brownh,Black,Blue,Int,Brown,F,M
1,0.11301092,0.118653576,0.0000001,0.043127517,0.396187919,0.026496644,1.10E-13,1.39E-05,1.00E-05,1,0.0000001
2,0.153311142,0.095058659,0.0000001,0.072427293,0.350484713,0.016063883,1.71E-05,1.42E-07,0.0000001,1,0.0000001
6,0.010910428,0.123569794,0.000343249,0.072427293,0.350484713,0.016063883,2.70E-08,1.07E-07,6.46E-10,1,0.0000001
8,0.059204552,0.159495585,2.29E-06,0.043127517,0.396187919,0.026496644,1.71E-05,1.42E-07,0.0000001,0.0000001,1
11,0.043641713,0.199084668,1.91E-05,0.043127517,0.396187919,0.026496644,0.0000001,3.21E-05,7.29E-08,1,0.0000001
12,0.043641713,0.199084668,1.91E-05,0.043127517,0.396187919,0.026496644,7.93E-13,2.44E-05,4.68E-07,0.0000001,1
13,0.153311142,0.095058659,0.0000001,0.072427293,0.350484713,0.016063883,1.71E-05,1.42E-07,0.0000001,0.0000001,1
17,0.059204552,0.159495585,2.29E-06,0.043127517,0.396187919,0.026496644,2.70E-08,1.07E-07,6.46E-10,1,0.0000001
18,0.153311142,0.095058659,0.0000001,0.072427293,0.350484713,0.016063883,1.71E-05,1.42E-07,0.0000001,1,0.0000001
19,0.153311142,0.095058659,0.0000001,0.08883871,0.293741935,0.016258065,1.71E-05,1.42E-07,0.0000001,1,0.0000001
20,0.007405866,0.109839817,0.002184315,0.043127517,0.396187919,0.026496644,0.0000001,6.88E-07,8.11E-06,0.0000001,1
22,0.153311142,0.095058659,0.0000001,0.043127517,0.396187919,0.026496644,6.26E-08,1.03E-07,3.41E-11,1,0.0000001
23,0.0000001,0.231480415,0.0000001,0.043127517,0.396187919,0.026496644,2.76E-09,9.23E-05,5.85E-09,0.0000001,1
24,0.059204552,0.159495585,2.29E-06,0.072427293,0.350484713,0.016063883,4.47E-06,9.24E-05,0.0000001,1,0.0000001
27,0.11301092,0.118653576,0.0000001,0.08883871,0.293741935,0.016258065,1.18E-12,1.16E-05,1.99E-06,1,0.0000001
28,0.153311142,0.095058659,0.0000001,0.072427293,0.350484713,0.016063883,8.56E-07,6.87E-05,0.0000001,1,0.0000001
29,0.11301092,0.118653576,0.0000001,0.08883871,0.293741935,0.016258065,1.23E-11,5.42E-05,1.72E-07,1,0.0000001
33,0.059204552,0.159495585,2.29E-06,0.043127517,0.396187919,0.026496644,2.70E-08,1.07E-07,6.46E-10,0.0000001,1
34,0.11301092,0.118653576,0.0000001,0.043127517,0.396187919,0.026496644,5.50E-15,6.73E-06,5.66E-05,1,0.0000001
36,0.11301092,0.118653576,0.0000001,0.043127517,0.396187919,0.026496644,1.10E-13,1.39E-05,1.00E-05,0.0000001,1
39,0.076710442,0.105469846,0.0000001,0.043127517,0.396187919,0.026496644,0.0000001,6.95E-06,5.54E-10,1,0.0000001
40,0.076710442,0.105469846,0.0000001,0.149193548,0.259856631,0.009856631,0.0000001,5.40E-08,0.000341795,1,0.0000001
41,0.153311142,0.095058659,0.0000001,0.043127517,0.396187919,0.026496644,1.71E-05,1.42E-07,0.0000001,0.0000001,1
42,0.153311142,0.095058659,0.0000001,0.072427293,0.350484713,0.016063883,1.25E-06,0.000212224,6.04E-12,1,0.0000001
43,0.076710442,0.105469846,0.0000001,0.043127517,0.396187919,0.026496644,5.03E-13,2.02E-05,1.83E-06,1,0.0000001
44,0.007405866,0.109839817,0.002184315,0.043127517,0.396187919,0.026496644,0.0000001,1.53E-07,1.33E-05,1,0.0000001
45,0.153311142,0.095058659,0.0000001,0.043127517,0.396187919,0.026496644,1.71E-05,1.42E-07,0.0000001,1,0.0000001
46,0.043641713,0.199084668,1.91E-05,0.072427293,0.350484713,0.016063883,2.46E-10,1.12E-07,3.05E-08,1,0.0000001
47,0.153311142,0.095058659,0.0000001,0.043127517,0.396187919,0.026496644,1.71E-05,1.42E-07,0.0000001,1,0.0000001
49,0.11301092,0.118653576,0.0000001,0.08883871,0.293741935,0.016258065,1.18E-12,1.16E-05,1.99E-06,0.0000001,1
50,0.076710442,0.105469846,0.0000001,0.149193548,0.259856631,0.009856631,0.0000001,5.40E-08,0.000341795,0.0000001,1
54,0.11301092,0.118653576,0.0000001,0.043127517,0.396187919,0.026496644,0.0000001,6.65E-06,2.65E-07,1,0.0000001
55,0.0000001,0.311158798,1.08E-05,0.043127517,0.396187919,0.026496644,1.71E-05,1.42E-07,0.0000001,0.0000001,1
56,0.153311142,0.095058659,0.0000001,0.072427293,0.350484713,0.016063883,6.28E-08,8.51E-05,0.0000001,0.0000001,1
57,0.11301092,0.118653576,0.0000001,0.043127517,0.396187919,0.026496644,2.76E-09,9.23E-05,5.85E-09,1,0.0000001
59,0.0000001,0.214285714,0.010252905,0.043127517,0.396187919,0.026496644,0.0000001,5.86E-07,4.00E-05,1,0.0000001
64,0.11301092,0.118653576,0.0000001,0.043127517,0.396187919,0.026496644,5.17E-09,7.97E-05,7.83E-10,0.0000001,1
67,0.11301092,0.118653576,0.0000001,0.043127517,0.396187919,0.026496644,1.10E-13,1.39E-05,1.00E-05,0.0000001,1
